especie_id,nom_ctf,desc_eng,nom_eng,desc_cat,desc_cas,nom_cat,_id,nom_cas
547,Tilia cordata,"This is a deciduous tree with a conical or ovoid crown. It is native to Europe and North Western Asia. It presents a lot of basal regrowth. It blossoms from June to August, with perfumed, creamy-yellow flowers. It produces light-brown fruit that ripen in the autumn. It may have difficulty in adapting, but it is planted in streets, parks and gardens.",Small leaved lime,"És un arbre caducifoli, de capçada cònica a ovoidal. Originari d'Europa i del nord-oest d'Àsia. Presenta molts rebrots basals. La floració es produeix entre els mesos de juny i agost, amb flors de color groc cremós, perfumades. Els fruits són de color marró clar i maduren a la tardor. Pot presentar dificultats d'adaptació, però s'utilitza com a arbre viari i es planta en parcs i jardins.","Es un árbol caducifolio, de copa cónica en ovoidal. Originario de Europa y del noroeste de Asia. Presenta muchos retoños basales. La floración se produce entre los meses de junio y agosto, con flores de color amarillo cremoso, perfumadas. Los frutos son de color marrón claro y maduran en otoño. Puede presentar dificultades de adaptación, pero se utiliza como árbol viario y se planta en parques y jardines.","Til·ler de fulla petita,  tell de fulla petita",10,"Tilo de hoja pequeña,  tilo de hojas pequeñas"
2242,Crataegus laevigata,"It is a bush or small tree, deciduous and native to the Western and Central Europe. The branches are covered with big thorns and the leaves are dentate. It blooms in May, with white flowers in groups. Fruits ripe in autumn. These are red coloured, chickpeas sized and contain two or three seeds.  Its fruits are a source food for birds.",Midland hawthorn,"Arbust o arbre de mida petita, caducifoli i originari de l'oest i centre d'Europa. Presenta les branques cobertes de grans espines i les fulles tenen els marges serrats. Floreix al maig, amb flors  agrupades i de color blanquinós. Els fruits maduren cap a la tardor, són de color vermell i de la mida d'un cigró, i contenen dues o tres llavors. Aquests fruits serveixen d'aliment per algunes espècies d'ocells.","Arbusto o árbol de tamaño pequeño, caducifolio y originario del oeste y centro de Europa. Presenta las ramas cubiertas de grandes espinas y las hojas tienen los márgenes serrados. Florece en mayo, con flores agrupadas y de color blanquecino. Los frutos maduran hacia el otoño, son de color rojo, de la medida de un garbanzo, y contienen dos o tres semillas. Estos frutos sirven de alimento por algunos pájaros.",Espinalb centreuropeu,17,Espino navarro
590,Ulmus RESISTA® 'Sapporo Autumn Gold',"This is a deciduous tree with a round crown. It is a horticultural hybrid, obtained in Japan. Its blossom appears in March, before the leaves sprout, and it is not ornamental. Neither are the fruit, which ripen in April. This tree is resistant to Dutch Elm Disease, something that has destroyed most European elms. Another elm that is resistant to Dutch Elm Disease has recently been marketed: Ulmus 'New Horizon' Resista®, obtained in the United States.",Elm,"Arbre caducifoli, de capçada arrodonida. Hortícola, d'origen híbrid obtingut al Japó. Les flors apareixen al març, abans que brotin les fulles noves, i no són ornamentals, com tampoc no ho són els fruits, que maduren durant el mes d'abril. Aquest arbre és resistent a la grafiosi de l'om, una malaltia que ha destruït la gran majoria dels oms europeus. Recentment s'ha introduït en el mercat un altre om resistent a la grafiosi, l'Ulmus 'New Horizon' Resista®, obtingut als Estats Units.","Árbol caducifolio, de copa redondeada. Hortícola, de origen híbrido, obtenido en Japón. Las flores aparecen en marzo, antes de que broten las hojas nuevas, y no son ornamentales, como tampoco lo son los frutos, que maduran durante el mes de abril. Este árbol es resistente a la grafiosis del olmo, una enfermedad que ha destruido la gran mayoría de los olmos europeos. Recientemente se ha introducido en el mercado otro olmo resistente a la grafiosis, Ulmus 'New Horizon' Resista®, obtenido en los Estados Unidos.",Om,11,Olmo
5286633,Ficus salicifolia,"This is an evergreen tree, native to tropical forest regions of Africa. The leaves are elliptic-oblong, leathery and green coloured. It has small spherical inflorescences of yellow color, resembling a berry. It is used as an ornamental tree in parks and gardens.",Wonderboom ,"Arbre de fulla perenne, originari de les regions de bosc tropical d'Àfrica. Les fulles són de forma el·líptica-oblonga i de color verd. Té petites inflorescències esfèriques de color groc, semblant a una baia. S'utilitza com a arbre ornamental en parcs i jardins.","Árbol de hoja perenne, originario de las regiones forestales tropicales de África. Las hojas son elípticas-oblongas y de color verde. Tiene pequeñas inflorescencias esféricas de color amarillo, que se asemejan a una baya. Se utiliza como árbol ornamental en parques y jardines.",Ficus,12,Higuera
2446,Ligustrum japonicum 'Variegatum',"An evergreen shrub with a rounded crown, native to Japan. It blossoms in July and August, with fragrant white flowers. It produces black globular fruit that ripen in mid-autumn. It is planted to create hedges or used in ornamental gardening.  Three cultivars are found in Barcelona: 'Macrophyllum', with broader, darker leaves; 'Rotundifolium', with rounder leaves; 'Variegatum', with creamy-white leaf margins; and 'Texanum', with coriaceous and wide leaves, slighltly bent on the central nerve, and with yellow-white flowers.  The blossom of these species attracts pollinators.",Japanese privet,"Arbust perennifoli, de capçada arrodonida i originari del Japó. Floreix entre juliol i agost, amb flors oloroses, de color blanc. Els fruits són globosos, de color negre i maduren a mitjans de tardor. Es planta com a arbust per a la creació de tanques o en jardineria ornamental.  A Barcelona trobem les cultivars 'Macrophyllum', de fulles més amples i fosques; 'Rotundifolium', amb les fulles més arrodonides; 'Variegatum', amb els marges de les fulles de color blanc crema; i 'Texanum' amb les fulles coriàcies, acabades en punta i lleugerament doblegades pel nervi central, molt marcat, i les flors de color blanc grogós. Les floracions d'aquestes espècies atrauen pol·linitzadors.","Arbusto perennifolio, de copa redondeada y originario de Japón. Florece entre julio y agosto, con flores olorosas, de color blanco. Los frutos son globosos, de color negro, y maduran a mediados de otoño. Se planta como arbusto para la creación de setos o en jardinería ornamental.  En Barcelona encontramos los cultivares 'Macrophyllum', de hojas más anchas y oscuras; 'Rotundifolium', con las hojas más redondeadas; 'Variegatum', con los márgenes de las hojas de color blanco crema; y 'Texanum', con las hojas coriaceas, acabadas en punta y ligeramente dobladas por el nervio central, muy marcado, y de flores blancas amarillentas. Las floraciones de estas especies atraen polinizadores.","Troana,  troana del Japó",13,"Aligustre japonés,  aligustre del Japón"
2022,Acacia verticillata,"A small evergreen tree, with a very irregular crown, native to Australia. It flowers in spring, with pale-yellow, almost white flowers. It produces straight, dark-brown seedpods. It is normally planted as an ornamental tree in parks and gardens, as it is much appreciated for its elegant blossom.",Prickly moses,"Arbre perennifoli i de mida petita, amb capçada força irregular, originari d'Austràlia. Floreix a la primavera amb flors de color groc pàl·lid, gairebé blanquinós. El fruit és un llegum linear i de color marró fosc. Normalment es planta com a arbre ornamental en jardins i parcs, ja que és molt apreciat per la seva floració elegant.","Árbol  perennifolio y de tamaño pequeño, con copa bastante irregular, originario de Australia. Florece en primavera, con flores de color amarillo pálido, casi blanquecino. El fruto es una legumbre lineal y de color marrón oscuro. Normalmente se planta como árbol ornamental en jardines y parques, ya que es muy apreciado por su elegante floración.",Acàcia verticil·lada,14,Acacia verticilada
940,Betula pendula,"This is a deciduous tree with a round crown. It is native to Europe, Northern Asia and North Africa. Its leaves turn a pretty shade of yellow in the autumn. It flowers in spring, with grouped, greenish-yellow male flowers and female flowers (catkins) which develop into brown infructescences that mature in the summer. It is not drought tolerant. In Barcelona, it is found in streets and squares, as well as in parks and gardens.",Silver birch,"Arbre caducifoli, de capçada arrodonida, originari d'Europa, el nord d'Àsia i el nord d'Àfrica. Les fulles agafen un bonic color groc a la tardor. Floreix a la primavera, amb flors masculines agrupades i de color groc verdós, i flors femenines que donen lloc a infructescències de color marró que maduren a l'estiu. No tolera la sequera. A Barcelona el trobem en carrers i places, així com en parcs i jardins.","Árbol caducifolio, de copa redondeada, originario de Europa, el norte de Asia y el norte de África. Las hojas adquieren un bonito color amarillo en otoño. Florece en primavera, con flores masculinas agrupadas y de color amarillo verdoso, y flores femeninas que dan lugar a infrutescencias de color marrón que maduran en verano. No tolera la sequía. En Barcelona lo encontramos en calles y plazas, así como en parques y jardines.",Bedoll,15,Abedul
2152,Calocedrus decurrens 'Aureovariegata',"A conifer with a columnar crown, native to western North America. It blossoms at the beginning of spring with yellow male cones and yellowish-green female cones, on different branches. The fruit are yellowish-brown or reddish cones which start to ripen at the end of the summer. In Barcelona, the 'Aureovariegata' cultivar is also found.",Incense cedar  'Aureovariegata',"Conífera de capçada columnar, originària de l'oest de l'Amèrica del Nord. La floració es produeix al començament de la primavera, amb cons masculins de color groc i femenins de color verd groguenc, en branques diferents. Els fruits són cons de color marró groguenc o vermellós i comencen a madurar al final de l'estiu. A Barcelona també trobem la cultivar 'Aureovariegata'.","Conífera de copa columnar, originaria del oeste de Norteamérica. La floración se produce a principios de primavera, con conos masculinos de color amarillo y femeninos de color verde amarillento, en ramas diferentes. Los frutos son conos de color marrón amarillento o rojizo y empiezan a madurar a finales del verano. En Barcelona también encontramos el cultivar 'Aureovariegata'.",Calocedre tacat,16,Calocedro matizado
2248,Cupressus sempervirens 'stricta',"This is an evergreen tree with a columnar crown, native to the Mediterranean region. It has dark-green aromatic leaves. It flowers at the end of winter, with yellow male cones and green-grey female cones. Its fruit are dark-brown globular cones that start to ripen in the autumn of the second year.  In Barcelona, it is planted in rows, including streets, paths and roadways, as solitary trees in parks, gardens, squares and cloisters, and in groups for hedges, cut back to various heights, and as windbreaks. In particular, you can find the 'Stricta' cultivar, with a narrow crown, and in some parks horizontalis, with extended branches.",Mediterranean cypress,"Conífera perennifòlia, de capçada columnar, originària de l'est de la regió mediterrània. Les fulles són de color verd fosc i aromàtiques. Floreix al final de l'hivern, amb cons masculins de color groc i femenins de color gris verdós. Els fruits són estròbils globosos de color marró fosc que comencen a madurar a la tardor del segon any.  A Barcelona s'utilitza en alineacions, incloses les de carrers, camins i carreteres, com a exemplars aïllats en parcs, jardins, places i claustres, en grups, en tanques vegetals retallades de diverses alçàries i com a tallavent. Podem trobar, sobretot, la cultivar 'Stricta', de capçada estreta, i en alguns parcs la forma horizontalis, de branques esteses.","Conífera perennifolia, de copa columnar, originaria del este de la región mediterránea. Las hojas son de color verde oscuro y aromáticas. Florece al final del invierno, con conos masculinos de color amarillo y femeninos de color gris verdoso. Los frutos son estróbilos globosos de color marrón oscuro que empiezan a madurar en otoño del segundo año.  En Barcelona se utiliza en alineaciones, incluidas las de calles, caminos y carreteras, como ejemplares aislados en parques, jardines, plazas y claustros, en grupos, en setos vegetales recortados de varias alturas y como cortavientos. Podemos encontrar, sobre todo, el cultivar 'Stricta', de copa estrecha, y en algunos parques la forma horizontalis, de ramas extendidas.",Xiprer,18,Ciprés
620,Washingtonia filifera,"This is a palm tree with a solitary trunk. It is native to South Eastern California, South Western Arizona and North Western Mexico. It blossoms in spring and in summer, with fragrant creamy-white flowers. It produces blue-black ovoid fruit that appear in the autumn and winter. In Barcelona, it is planted as a street tree and also in parks and gardens.",Petticoat palm,"És una palmera d'estípit simple. Originària del sud-est de Califòrnia, el sud-oest d'Arizona i el nord-oest de Mèxic. Floreix a la primavera i a l'estiu, amb flors oloroses, de color blanc crema. Els fruits són ovoides, de color negre blavenc i maduren a la tardor i a l'hivern. Es planta a Barcelona com a arbre viari i en parcs i jardins.","Es una palmera de estípite simple. Originaria del sureste de California, el suroeste de Arizona y el noroeste de México. Florece en primavera y en verano, con flores olorosas, de color blanco crema. Los frutos son ovoides, de color negro azulado, y maduran en otoño y en invierno. Se planta en Barcelona como árbol viario y en parques y jardines.",Washingtònia de Califòrnia,19,"Washingtonia,  palmera de abanico de California"
2789,Yucca gloriosa var. tristis,"An evergreen shrub, native to North America. It has blue-green, lanceolate leaves that are slightly lax. It blossoms in the summer, with large, bell-shaped flowers that are cream-coloured with red spots on the outside, arranged on the tips of erect spikes.  Its fruit are initially green, turning black with black seeds when ripe. It is used as a species that is resistant to arid soils and prolonged exposure to direct sunlight. In Barcelona, you can find the ecurvifolia variety, which has pendulous leaves, and a cultivar of this variety, 'Variegata', which differs from the others by having creamy-yellow leaf margins. This species is also interesting for its associated fauna, as its flowers attract pollinators.",Curve-leaf yucca,"Arbust perennifoli, originari de Nord-Amèrica. Les fulles són de color verd blavós, lanceolades i lleugerament laxes. Floreix a l'estiu, amb flors grans campanulades, de color crema tacades de vermell a l'exterior, disposades als extrems de tiges erectes.  Els fruits són verds al principi, i negres quan maduren, amb llavors negres. S'utilitza com a espècie resistent als sòls àrids i molt exposats al sol. A Barcelona trobem la varietat recurvifolia, amb les fulles pèndules; i una cultivar d'aquesta varietat, la cultivar  'Variegata', que es diferencia de les anteriors per tenir el marge de les fulles de color groc cremós. A més, és una espècie interessant per la fauna, ja que les floracions atrauen pol·linitzadors.","Arbusto perennifolio, originario de Norteamérica. Las hojas son de color verde azulado, lanceoladas y ligeramente laxas. Florece en verano, con flores grandes campanuladas, de color crema, manchadas de rojo en el exterior, dispuestas en los extremos de tallos erectos.  Los frutos son verdes al principio y negros cuando maduran, con semillas negras. Se utiliza como especie resistente a los suelos áridos y muy expuestos al sol. En Barcelona encontramos la variedad recurvifolia, con las hojas péndulas, y un cultivar de esta variedad, 'Variegata', que se diferencia de los anteriores por tener el borde de las hojas de color amarillo cremoso. Además, es una especie interesante para la fauna, ya que las floraciones atraen polinizadores.",Iuca de fulla recurvada,20,Yuca de hojas recorvadas
5248690,Ulmus RESISTA® 'New Horizon',"This is a deciduous tree with a round crown. It is a horticultural hybrid, obtained in Japan. Its blossom appears in March, before the leaves sprout, and it is not ornamental. Neither are the fruit, which ripen in April. This tree is resistant to Dutch Elm Disease, something that has destroyed most European elms. Another elm that is resistant to Dutch Elm Disease has recently been marketed: Ulmus 'New Horizon' Resista®, obtained in the United States.",Elm 'New Horizon' RESISTA®,"Arbre caducifoli, de capçada arrodonida. Hortícola, d'origen híbrid obtingut al Japó. Les flors apareixen al març, abans que brotin les fulles noves, i no són ornamentals, com tampoc no ho són els fruits, que maduren durant el mes d'abril. Aquest arbre és resistent a la grafiosi de l'om, una malaltia que ha destruït la gran majoria dels oms europeus. Recentment s'ha introduït en el mercat un altre om resistent a la grafiosi, l'Ulmus 'New Horizon' Resista®, obtingut als Estats Units.","Árbol caducifolio, de copa redondeada. Hortícola, de origen híbrido, obtenido en Japón. Las flores aparecen en marzo, antes de que broten las hojas nuevas, y no son ornamentales, como tampoco lo son los frutos, que maduran durante el mes de abril. Este árbol es resistente a la grafiosis del olmo, una enfermedad que ha destruido la gran mayoría de los olmos europeos. Recientemente se ha introducido en el mercado otro olmo resistente a la grafiosis, Ulmus 'New Horizon' Resista®, obtenido en los Estados Unidos.",Om híbrid 'New Horizon' RESISTA®,21,Olmo  híbrido 'New Horizon' RESISTA®
5286542,Cercidiphyllum japonicum,"This is a deciduous tree with a conical crown. It is native to Japan. Its leaves smell a bit like caramel. It blossoms at the beginning of spring, with purple flowers. The fruit form in the autumn and remain on the tree all winter. They are brown with winged seeds. It is commonly found in streets and squares.",Katsura,"És un arbre caducifoli, de capçada cònica. Originari del Japó. Les fulles fan una olor característica de sucre cremat. Floreix al principi de la primavera, amb flors de color porpra. Els fruits es formen a la tardor i romanen a l'arbre tot l'hivern; són de color marró amb les llavors alades. S'utilitza comunament com a arbre de carrer i places.","Es un árbol caducifolio, de copa cónica. Originario de Japón. Las hojas desprenden un característico olor a azúcar quemado. Florece al principio de la primavera, con flores de color púrpura. Los frutos se forman en otoño y se mantienen en el árbol todo el invierno; son de color marrón, con las semillas aladas. Se utiliza habitualmente como árbol de calle y plaza.",Arbre de Katsura,22,Árbol de Katsura
2045,Agonis flexuosa,"An evergreen tree with a round crown, native to Western Australia. Its leaves emit a strong aroma of peppermint when crushed. It blossoms from August to December, with spikes of small white flowers. Its fruit is a small capsule containing thousands of tiny seeds. It is widely used as an ornamental tree in parks and gardens, as well as in squares and streets.",Western Australian peppermint,"Arbret perennifoli de capçada arrodonida, originari de l'Austràlia occidental. Les fulles desprenen una forta olor a menta si s'aixafen. Floreix des d'agost fins desembre, amb petites flors blanques agrupades en espigues. El fruit és una petita càpsula amb milers de llavors, encara més petites, a l'interior. És un arbre que s'ha utilitzat molt com a espècie ornamental en parcs i jardins i en places i carrers.","Arbolillo perennifolio, de copa redondeada, originario de Australia occidental. Las hojas desprenden un fuerte olor a menta si se machacan. Florece de agosto a diciembre, con pequeñas flores blancas agrupadas en espigas. El fruto es una pequeña cápsula con miles de semillas, aún más pequeñas, en su interior. Es un árbol que se ha utilizado mucho como especie ornamental en parques y jardines y en plazas y calles.",Arbre de la menta,23,Sauce australiano
1655,Stranvaesia nussia,"This is an evergreen tree with an irregular crown. It is native to the Himalayas and South Eastern Asia. It blossoms in July, with more or less small, unattractive white flowers. It produces small, unattractive, reddish-orange globular fruit. It is normally planted because of its resistance to heat and humidity, and because it adapts well to sloping land.",Himalayan Photinia,"És un arbre perennifoli, de capçada irregular. Originari de l'Himàlaia i del sud-est d'Àsia. Floreix al juliol, amb flors blanques, més o menys petites i poc vistoses. Els fruits són globosos, també petits i poc vistosos, de color taronja vermellós. Es planta normalment per la seva tolerància a la calor i la humitat i perquè s'adapta bé en terrenys inclinats.","Es un árbol perennifolio, de copa irregular. Originario del Himalaya y del sureste de Asia. Florece en julio, con flores blancas, más o menos pequeñas y poco vistosas. Los frutos son globosos, también pequeños y poco vistosos, de color naranja rojizo. Se planta normalmente por su tolerancia al calor y la humedad y porque se adapta bien a terrenos inclinados.",Estranvaèsia de l'Himàlaia,24,Estranvaesia del Himalaya
